CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/31.py
MEM 0.156250 1763684864.1753
MEM 1.265625 1763684864.1766
MEM 0.250000 1763684864.1779
MEM 3.203125 1763684864.1792
MEM 5.796875 1763684864.1804
MEM 6.578125 1763684864.1817
MEM 7.234375 1763684864.1830
MEM 7.656250 1763684864.1843
MEM 8.312500 1763684864.1855
MEM 8.718750 1763684864.1868
MEM 9.093750 1763684864.1881
MEM 9.531250 1763684864.1893
MEM 9.984375 1763684864.1906
MEM 10.718750 1763684864.1919
MEM 11.078125 1763684864.1932
MEM 11.421875 1763684864.1944
MEM 12.125000 1763684864.1957
MEM 12.359375 1763684864.1970
MEM 12.953125 1763684864.1982
MEM 13.359375 1763684864.1995
MEM 13.718750 1763684864.2008
MEM 14.125000 1763684864.2020
MEM 14.625000 1763684864.2033
MEM 15.171875 1763684864.2046
MEM 15.515625 1763684864.2058
MEM 15.875000 1763684864.2071
MEM 16.281250 1763684864.2084
MEM 16.718750 1763684864.2096
MEM 17.734375 1763684864.2109
MEM 18.093750 1763684864.2122
MEM 18.328125 1763684864.2134
MEM 18.328125 1763684864.2147
MEM 18.343750 1763684864.2160
