CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/51.py
MEM 0.140625 1763684865.6001
MEM 0.953125 1763684865.6014
MEM 0.250000 1763684865.6026
MEM 2.046875 1763684865.6037
MEM 5.609375 1763684865.6050
MEM 6.468750 1763684865.6062
MEM 7.140625 1763684865.6075
MEM 7.593750 1763684865.6088
MEM 8.281250 1763684865.6100
MEM 8.656250 1763684865.6113
MEM 9.062500 1763684865.6126
MEM 9.562500 1763684865.6138
MEM 10.218750 1763684865.6151
MEM 10.875000 1763684865.6164
MEM 11.250000 1763684865.6175
MEM 11.640625 1763684865.6188
MEM 11.921875 1763684865.6200
MEM 12.515625 1763684865.6213
MEM 12.828125 1763684865.6226
MEM 13.515625 1763684865.6238
MEM 13.875000 1763684865.6251
MEM 14.312500 1763684865.6264
MEM 14.765625 1763684865.6276
MEM 15.125000 1763684865.6289
MEM 15.718750 1763684865.6302
MEM 15.968750 1763684865.6315
MEM 16.312500 1763684865.6327
MEM 16.781250 1763684865.6340
MEM 17.218750 1763684865.6353
MEM 18.250000 1763684865.6365
MEM 18.718750 1763684865.6378
MEM 18.921875 1763684865.6391
MEM 18.921875 1763684865.6403
MEM 18.921875 1763684865.6416
MEM 18.937500 1763684865.6429
