CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/11.py
MEM 0.156250 1763684863.0355
MEM 1.296875 1763684863.0368
MEM 0.250000 1763684863.0381
MEM 3.515625 1763684863.0394
MEM 5.875000 1763684863.0407
MEM 6.593750 1763684863.0420
MEM 7.218750 1763684863.0432
MEM 7.703125 1763684863.0445
MEM 8.437500 1763684863.0458
MEM 8.859375 1763684863.0470
MEM 9.187500 1763684863.0483
MEM 9.671875 1763684863.0496
MEM 10.375000 1763684863.0508
MEM 10.750000 1763684863.0521
MEM 11.140625 1763684863.0534
MEM 11.515625 1763684863.0546
MEM 12.187500 1763684863.0559
MEM 12.437500 1763684863.0572
MEM 13.218750 1763684863.0585
MEM 13.640625 1763684863.0597
MEM 14.078125 1763684863.0610
MEM 14.500000 1763684863.0623
MEM 14.968750 1763684863.0635
MEM 15.609375 1763684863.0648
MEM 15.875000 1763684863.0661
MEM 16.218750 1763684863.0673
MEM 16.640625 1763684863.0686
MEM 17.078125 1763684863.0699
MEM 18.093750 1763684863.0711
MEM 18.390625 1763684863.0724
MEM 18.593750 1763684863.0737
MEM 18.593750 1763684863.0750
MEM 18.609375 1763684863.0762
