CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/22.py
MEM 0.140625 1763684863.3001
MEM 1.546875 1763684863.3014
MEM 0.250000 1763684863.3027
MEM 3.078125 1763684863.3039
MEM 5.765625 1763684863.3052
MEM 6.515625 1763684863.3065
MEM 7.187500 1763684863.3078
MEM 7.640625 1763684863.3090
MEM 8.390625 1763684863.3103
MEM 8.765625 1763684863.3116
MEM 9.171875 1763684863.3128
MEM 9.609375 1763684863.3141
MEM 10.062500 1763684863.3154
MEM 10.718750 1763684863.3166
MEM 11.140625 1763684863.3179
MEM 11.500000 1763684863.3192
MEM 12.093750 1763684863.3204
MEM 12.343750 1763684863.3217
MEM 12.921875 1763684863.3230
MEM 13.343750 1763684863.3242
MEM 13.687500 1763684863.3255
MEM 14.109375 1763684863.3268
MEM 14.609375 1763684863.3280
MEM 15.140625 1763684863.3293
MEM 15.453125 1763684863.3306
MEM 15.765625 1763684863.3319
MEM 16.312500 1763684863.3331
MEM 16.703125 1763684863.3344
MEM 17.750000 1763684863.3356
MEM 18.171875 1763684863.3369
MEM 18.453125 1763684863.3382
MEM 18.453125 1763684863.3394
MEM 18.453125 1763684863.3407
MEM 18.468750 1763684863.3420
