CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/35.py
MEM 0.156250 1763684864.7058
MEM 1.218750 1763684864.7071
MEM 0.250000 1763684864.7084
MEM 3.171875 1763684864.7096
MEM 5.765625 1763684864.7109
MEM 6.359375 1763684864.7122
MEM 7.062500 1763684864.7134
MEM 7.500000 1763684864.7147
MEM 8.140625 1763684864.7160
MEM 8.515625 1763684864.7173
MEM 8.906250 1763684864.7185
MEM 9.359375 1763684864.7198
MEM 9.796875 1763684864.7211
MEM 10.515625 1763684864.7223
MEM 10.875000 1763684864.7236
MEM 11.203125 1763684864.7249
MEM 11.906250 1763684864.7261
MEM 12.140625 1763684864.7274
MEM 12.859375 1763684864.7287
MEM 13.296875 1763684864.7299
MEM 13.656250 1763684864.7312
MEM 14.109375 1763684864.7325
MEM 14.546875 1763684864.7337
MEM 15.171875 1763684864.7350
MEM 15.515625 1763684864.7363
MEM 15.812500 1763684864.7375
MEM 16.250000 1763684864.7388
MEM 16.656250 1763684864.7401
MEM 17.640625 1763684864.7413
MEM 18.000000 1763684864.7426
MEM 18.312500 1763684864.7439
MEM 18.312500 1763684864.7451
MEM 18.312500 1763684864.7464
MEM 18.312500 1763684864.7477
