CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/55.py
MEM 0.125000 1763684866.0793
MEM 1.578125 1763684866.0806
MEM 0.250000 1763684866.0819
MEM 3.906250 1763684866.0832
MEM 5.968750 1763684866.0844
MEM 6.671875 1763684866.0857
MEM 7.218750 1763684866.0870
MEM 7.750000 1763684866.0882
MEM 8.437500 1763684866.0895
MEM 8.859375 1763684866.0908
MEM 9.218750 1763684866.0920
MEM 9.687500 1763684866.0933
MEM 10.406250 1763684866.0946
MEM 10.812500 1763684866.0959
MEM 11.187500 1763684866.0971
MEM 11.562500 1763684866.0984
MEM 12.250000 1763684866.0997
MEM 12.468750 1763684866.1010
MEM 13.062500 1763684866.1022
MEM 13.453125 1763684866.1035
MEM 13.812500 1763684866.1048
MEM 14.250000 1763684866.1060
MEM 14.734375 1763684866.1073
MEM 15.312500 1763684866.1086
MEM 15.640625 1763684866.1099
MEM 15.984375 1763684866.1111
MEM 16.406250 1763684866.1124
MEM 16.812500 1763684866.1137
MEM 17.843750 1763684866.1149
MEM 18.156250 1763684866.1162
MEM 18.390625 1763684866.1175
MEM 18.390625 1763684866.1187
MEM 18.406250 1763684866.1200
