CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/3.py
MEM 0.156250 1763684862.3780
MEM 1.640625 1763684862.3792
MEM 0.250000 1763684862.3805
MEM 3.906250 1763684862.3818
MEM 5.953125 1763684862.3831
MEM 6.671875 1763684862.3843
MEM 7.359375 1763684862.3856
MEM 7.828125 1763684862.3869
MEM 8.453125 1763684862.3881
MEM 8.875000 1763684862.3894
MEM 9.234375 1763684862.3907
MEM 9.703125 1763684862.3919
MEM 10.468750 1763684862.3932
MEM 10.765625 1763684862.3945
MEM 11.171875 1763684862.3957
MEM 11.546875 1763684862.3970
MEM 12.203125 1763684862.3983
MEM 12.468750 1763684862.3995
MEM 13.031250 1763684862.4008
MEM 13.375000 1763684862.4021
MEM 13.843750 1763684862.4033
MEM 14.265625 1763684862.4046
MEM 14.671875 1763684862.4059
MEM 15.312500 1763684862.4071
MEM 15.578125 1763684862.4084
MEM 15.906250 1763684862.4097
MEM 16.328125 1763684862.4109
MEM 16.765625 1763684862.4122
MEM 17.812500 1763684862.4135
MEM 18.125000 1763684862.4147
MEM 18.296875 1763684862.4160
MEM 18.296875 1763684862.4173
MEM 18.312500 1763684862.4185
