CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/26.py
MEM 0.125000 1763684863.5292
MEM 0.953125 1763684863.5305
MEM 0.250000 1763684863.5318
MEM 3.109375 1763684863.5330
MEM 5.687500 1763684863.5342
MEM 6.515625 1763684863.5354
MEM 7.187500 1763684863.5367
MEM 7.625000 1763684863.5380
MEM 8.328125 1763684863.5392
MEM 8.765625 1763684863.5405
MEM 9.156250 1763684863.5418
MEM 9.593750 1763684863.5430
MEM 10.078125 1763684863.5443
MEM 10.687500 1763684863.5456
MEM 11.171875 1763684863.5469
MEM 11.468750 1763684863.5482
MEM 11.906250 1763684863.5494
MEM 12.296875 1763684863.5507
MEM 12.890625 1763684863.5520
MEM 13.328125 1763684863.5533
MEM 13.687500 1763684863.5545
MEM 14.093750 1763684863.5558
MEM 14.578125 1763684863.5571
MEM 15.078125 1763684863.5583
MEM 15.484375 1763684863.5596
MEM 15.812500 1763684863.5609
MEM 16.234375 1763684863.5621
MEM 16.625000 1763684863.5634
MEM 17.625000 1763684863.5647
MEM 18.015625 1763684863.5659
MEM 18.312500 1763684863.5672
MEM 18.312500 1763684863.5685
MEM 18.312500 1763684863.5697
MEM 18.343750 1763684863.5710
