CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/10.py
MEM 0.125000 1763684862.7664
MEM 1.515625 1763684862.7677
MEM 0.250000 1763684862.7690
MEM 3.625000 1763684862.7702
MEM 5.796875 1763684862.7715
MEM 6.578125 1763684862.7728
MEM 7.234375 1763684862.7741
MEM 7.734375 1763684862.7753
MEM 8.468750 1763684862.7766
MEM 8.921875 1763684862.7779
MEM 9.281250 1763684862.7791
MEM 9.796875 1763684862.7804
MEM 10.093750 1763684862.7814
MEM 10.765625 1763684862.7827
MEM 11.171875 1763684862.7840
MEM 11.500000 1763684862.7852
MEM 12.203125 1763684862.7865
MEM 12.390625 1763684862.7878
MEM 12.984375 1763684862.7890
MEM 13.375000 1763684862.7903
MEM 13.765625 1763684862.7916
MEM 14.171875 1763684862.7929
MEM 14.640625 1763684862.7941
MEM 15.234375 1763684862.7954
MEM 15.562500 1763684862.7967
MEM 15.875000 1763684862.7979
MEM 16.296875 1763684862.7992
MEM 16.671875 1763684862.8005
MEM 17.609375 1763684862.8017
MEM 18.109375 1763684862.8030
MEM 18.375000 1763684862.8043
MEM 18.375000 1763684862.8056
MEM 18.375000 1763684862.8068
MEM 18.390625 1763684862.8081
