CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/56.py
MEM 0.156250 1763684866.3429
MEM 1.000000 1763684866.3441
MEM 0.250000 1763684866.3454
MEM 2.812500 1763684866.3467
MEM 5.703125 1763684866.3480
MEM 6.515625 1763684866.3493
MEM 7.171875 1763684866.3505
MEM 7.640625 1763684866.3518
MEM 8.328125 1763684866.3531
MEM 8.750000 1763684866.3543
MEM 9.156250 1763684866.3556
MEM 9.609375 1763684866.3569
MEM 10.062500 1763684866.3581
MEM 10.718750 1763684866.3594
MEM 11.140625 1763684866.3607
MEM 11.468750 1763684866.3619
MEM 12.093750 1763684866.3632
MEM 12.343750 1763684866.3645
MEM 12.921875 1763684866.3657
MEM 13.343750 1763684866.3670
MEM 13.671875 1763684866.3683
MEM 14.125000 1763684866.3695
MEM 14.562500 1763684866.3708
MEM 15.140625 1763684866.3721
MEM 15.500000 1763684866.3734
MEM 15.812500 1763684866.3746
MEM 16.265625 1763684866.3759
MEM 16.671875 1763684866.3771
MEM 17.703125 1763684866.3784
MEM 18.250000 1763684866.3797
MEM 18.515625 1763684866.3809
MEM 18.515625 1763684866.3822
MEM 18.515625 1763684866.3835
MEM 18.531250 1763684866.3848
