CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/32.py
MEM 0.156250 1763684864.4391
MEM 1.078125 1763684864.4404
MEM 0.250000 1763684864.4417
MEM 3.296875 1763684864.4429
MEM 5.765625 1763684864.4442
MEM 6.515625 1763684864.4455
MEM 7.171875 1763684864.4468
MEM 7.640625 1763684864.4481
MEM 8.359375 1763684864.4493
MEM 8.734375 1763684864.4506
MEM 9.140625 1763684864.4519
MEM 9.609375 1763684864.4531
MEM 10.062500 1763684864.4544
MEM 10.703125 1763684864.4557
MEM 11.140625 1763684864.4569
MEM 11.437500 1763684864.4582
MEM 11.953125 1763684864.4595
MEM 12.312500 1763684864.4607
MEM 12.890625 1763684864.4620
MEM 13.312500 1763684864.4633
MEM 13.671875 1763684864.4645
MEM 14.093750 1763684864.4658
MEM 14.546875 1763684864.4671
MEM 15.109375 1763684864.4684
MEM 15.515625 1763684864.4696
MEM 15.843750 1763684864.4709
MEM 16.343750 1763684864.4722
MEM 16.750000 1763684864.4734
MEM 17.765625 1763684864.4747
MEM 18.109375 1763684864.4758
MEM 18.500000 1763684864.4770
MEM 18.500000 1763684864.4783
MEM 18.500000 1763684864.4796
MEM 18.500000 1763684864.4808
