CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/44.py
MEM 0.156250 1763684865.0954
MEM 1.187500 1763684865.0967
MEM 0.250000 1763684865.0978
MEM 3.015625 1763684865.0991
MEM 5.796875 1763684865.1003
MEM 6.546875 1763684865.1016
MEM 7.234375 1763684865.1029
MEM 7.750000 1763684865.1041
MEM 8.531250 1763684865.1054
MEM 8.953125 1763684865.1067
MEM 9.328125 1763684865.1080
MEM 9.796875 1763684865.1092
MEM 10.234375 1763684865.1105
MEM 10.859375 1763684865.1116
MEM 11.328125 1763684865.1129
MEM 11.593750 1763684865.1141
MEM 11.875000 1763684865.1154
MEM 12.468750 1763684865.1167
MEM 12.968750 1763684865.1179
MEM 13.531250 1763684865.1192
MEM 13.906250 1763684865.1205
MEM 14.296875 1763684865.1217
MEM 14.781250 1763684865.1230
MEM 15.109375 1763684865.1243
MEM 15.671875 1763684865.1255
MEM 15.968750 1763684865.1268
MEM 16.390625 1763684865.1281
MEM 16.812500 1763684865.1293
MEM 17.796875 1763684865.1306
MEM 18.109375 1763684865.1319
MEM 18.593750 1763684865.1331
MEM 18.656250 1763684865.1344
MEM 18.656250 1763684865.1357
MEM 18.671875 1763684865.1369
