CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/62.py
MEM 0.140625 1763684866.6154
MEM 0.953125 1763684866.6166
MEM 0.250000 1763684866.6179
MEM 2.890625 1763684866.6192
MEM 5.750000 1763684866.6205
MEM 6.515625 1763684866.6218
MEM 7.187500 1763684866.6230
MEM 7.640625 1763684866.6243
MEM 8.328125 1763684866.6256
MEM 8.765625 1763684866.6268
MEM 9.156250 1763684866.6281
MEM 9.578125 1763684866.6294
MEM 10.078125 1763684866.6306
MEM 10.687500 1763684866.6319
MEM 11.171875 1763684866.6332
MEM 11.437500 1763684866.6344
MEM 11.906250 1763684866.6357
MEM 12.296875 1763684866.6370
MEM 12.890625 1763684866.6382
MEM 13.359375 1763684866.6395
MEM 13.687500 1763684866.6408
MEM 14.140625 1763684866.6421
MEM 14.625000 1763684866.6434
MEM 15.000000 1763684866.6447
MEM 15.500000 1763684866.6459
MEM 15.781250 1763684866.6472
MEM 16.203125 1763684866.6485
MEM 16.656250 1763684866.6497
MEM 17.578125 1763684866.6510
MEM 18.062500 1763684866.6523
MEM 18.390625 1763684866.6535
MEM 18.390625 1763684866.6548
MEM 18.390625 1763684866.6561
MEM 18.406250 1763684866.6573
