CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/28.py
MEM 0.125000 1763684863.7955
MEM 1.062500 1763684863.7968
MEM 0.250000 1763684863.7981
MEM 3.468750 1763684863.7994
MEM 5.859375 1763684863.8007
MEM 6.593750 1763684863.8020
MEM 7.234375 1763684863.8032
MEM 7.671875 1763684863.8045
MEM 8.421875 1763684863.8058
MEM 8.843750 1763684863.8070
MEM 9.203125 1763684863.8083
MEM 9.781250 1763684863.8096
MEM 10.343750 1763684863.8109
MEM 11.031250 1763684863.8121
MEM 11.453125 1763684863.8134
MEM 11.781250 1763684863.8146
MEM 12.500000 1763684863.8159
MEM 12.734375 1763684863.8172
MEM 13.359375 1763684863.8184
MEM 13.734375 1763684863.8197
MEM 14.125000 1763684863.8210
MEM 14.531250 1763684863.8222
MEM 15.000000 1763684863.8235
MEM 15.515625 1763684863.8248
MEM 15.890625 1763684863.8261
MEM 16.171875 1763684863.8273
MEM 16.625000 1763684863.8286
MEM 17.015625 1763684863.8299
MEM 18.015625 1763684863.8311
MEM 18.359375 1763684863.8324
MEM 18.640625 1763684863.8337
MEM 18.640625 1763684863.8349
MEM 18.640625 1763684863.8361
MEM 18.656250 1763684863.8374
