CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/46.py
MEM 0.046875 1763688226.5617
MEM 0.046875 1763688226.5631
MEM 0.046875 1763688226.5644
MEM 0.250000 1763688226.5657
MEM 2.328125 1763688226.5670
MEM 0.250000 1763688226.5683
MEM 4.265625 1763688226.5696
MEM 5.953125 1763688226.5708
MEM 6.656250 1763688226.5721
MEM 7.234375 1763688226.5734
MEM 7.656250 1763688226.5747
MEM 8.437500 1763688226.5760
MEM 8.875000 1763688226.5772
MEM 9.250000 1763688226.5785
MEM 9.687500 1763688226.5798
MEM 10.156250 1763688226.5810
MEM 10.812500 1763688226.5823
MEM 11.265625 1763688226.5836
MEM 11.531250 1763688226.5849
MEM 11.796875 1763688226.5861
MEM 12.390625 1763688226.5874
MEM 12.875000 1763688226.5887
MEM 13.468750 1763688226.5900
MEM 13.812500 1763688226.5912
MEM 14.203125 1763688226.5925
MEM 14.718750 1763688226.5938
MEM 15.093750 1763688226.5951
MEM 15.609375 1763688226.5963
MEM 15.890625 1763688226.5976
MEM 16.250000 1763688226.5989
MEM 16.531250 1763688226.6002
MEM 16.937500 1763688226.6014
MEM 17.890625 1763688226.6027
MEM 18.265625 1763688226.6040
MEM 18.593750 1763688226.6053
MEM 18.593750 1763688226.6065
MEM 18.593750 1763688226.6078
MEM 18.593750 1763688226.6091
