CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/28.py
MEM 0.156250 1763688224.7965
MEM 1.421875 1763688224.7977
MEM 0.250000 1763688224.7990
MEM 3.625000 1763688224.8003
MEM 5.875000 1763688224.8016
MEM 6.640625 1763688224.8029
MEM 7.296875 1763688224.8041
MEM 7.718750 1763688224.8054
MEM 8.500000 1763688224.8067
MEM 8.890625 1763688224.8080
MEM 9.312500 1763688224.8093
MEM 9.593750 1763688224.8107
MEM 9.734375 1763688224.8120
MEM 9.734375 1763688224.8133
MEM 9.734375 1763688224.8146
MEM 9.765625 1763688224.8159
MEM 10.281250 1763688224.8172
MEM 10.984375 1763688224.8185
MEM 11.390625 1763688224.8197
MEM 11.765625 1763688224.8210
MEM 12.062500 1763688224.8223
MEM 12.640625 1763688224.8235
MEM 13.015625 1763688224.8248
MEM 13.656250 1763688224.8261
MEM 14.015625 1763688224.8273
MEM 14.390625 1763688224.8286
MEM 14.843750 1763688224.8299
MEM 15.187500 1763688224.8311
MEM 15.625000 1763688224.8324
MEM 15.937500 1763688224.8337
MEM 16.250000 1763688224.8349
MEM 16.562500 1763688224.8362
MEM 16.937500 1763688224.8375
MEM 17.265625 1763688224.8387
MEM 18.203125 1763688224.8400
MEM 18.328125 1763688224.8413
MEM 18.546875 1763688224.8425
MEM 18.671875 1763688224.8438
MEM 18.640625 1763688224.8451
MEM 18.796875 1763688224.8464
MEM 18.796875 1763688224.8476
MEM 18.796875 1763688224.8489
