CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/22.py
MEM 0.156250 1763688340.4092
MEM 1.281250 1763688340.4105
MEM 0.250000 1763688340.4118
MEM 3.843750 1763688340.4131
MEM 5.906250 1763688340.4143
MEM 6.578125 1763688340.4156
MEM 7.359375 1763688340.4169
MEM 7.625000 1763688340.4181
MEM 8.281250 1763688340.4194
MEM 8.718750 1763688340.4207
MEM 9.062500 1763688340.4219
MEM 9.609375 1763688340.4232
MEM 10.296875 1763688340.4245
MEM 10.625000 1763688340.4257
MEM 10.968750 1763688340.4270
MEM 11.390625 1763688340.4283
MEM 11.968750 1763688340.4295
MEM 12.265625 1763688340.4308
MEM 12.859375 1763688340.4321
MEM 13.140625 1763688340.4333
MEM 13.625000 1763688340.4346
MEM 14.062500 1763688340.4359
MEM 14.468750 1763688340.4371
MEM 15.140625 1763688340.4384
MEM 15.375000 1763688340.4397
MEM 15.812500 1763688340.4409
MEM 16.187500 1763688340.4422
MEM 17.046875 1763688340.4435
MEM 17.578125 1763688340.4447
MEM 17.984375 1763688340.4460
MEM 18.078125 1763688340.4473
MEM 18.078125 1763688340.4485
MEM 18.078125 1763688340.4498
