CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/40.py
MEM 0.156250 1763688226.0735
MEM 1.031250 1763688226.0748
MEM 0.187500 1763688226.0760
MEM 2.343750 1763688226.0773
MEM 5.656250 1763688226.0786
MEM 6.359375 1763688226.0799
MEM 7.078125 1763688226.0811
MEM 7.468750 1763688226.0824
MEM 8.109375 1763688226.0837
MEM 8.500000 1763688226.0849
MEM 8.921875 1763688226.0862
MEM 9.296875 1763688226.0875
MEM 9.875000 1763688226.0887
MEM 10.437500 1763688226.0900
MEM 10.921875 1763688226.0913
MEM 11.187500 1763688226.0925
MEM 11.671875 1763688226.0938
MEM 12.046875 1763688226.0951
MEM 12.640625 1763688226.0963
MEM 13.093750 1763688226.0976
MEM 13.453125 1763688226.0989
MEM 13.890625 1763688226.1001
MEM 14.328125 1763688226.1014
MEM 14.953125 1763688226.1027
MEM 15.265625 1763688226.1039
MEM 15.562500 1763688226.1052
MEM 16.015625 1763688226.1064
MEM 16.421875 1763688226.1077
MEM 17.453125 1763688226.1090
MEM 17.859375 1763688226.1102
MEM 18.078125 1763688226.1115
MEM 18.078125 1763688226.1128
MEM 18.078125 1763688226.1141
