CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/11.py
MEM 0.156250 1763688340.1545
MEM 1.656250 1763688340.1558
MEM 0.250000 1763688340.1571
MEM 3.765625 1763688340.1584
MEM 5.687500 1763688340.1596
MEM 6.390625 1763688340.1609
MEM 7.109375 1763688340.1622
MEM 7.484375 1763688340.1634
MEM 8.140625 1763688340.1647
MEM 8.515625 1763688340.1660
MEM 8.921875 1763688340.1672
MEM 9.328125 1763688340.1685
MEM 9.875000 1763688340.1698
MEM 10.406250 1763688340.1710
MEM 10.906250 1763688340.1723
MEM 11.187500 1763688340.1736
MEM 11.484375 1763688340.1748
MEM 12.046875 1763688340.1761
MEM 12.531250 1763688340.1774
MEM 13.078125 1763688340.1786
MEM 13.453125 1763688340.1799
MEM 13.859375 1763688340.1811
MEM 14.359375 1763688340.1824
MEM 14.796875 1763688340.1837
MEM 15.265625 1763688340.1850
MEM 15.609375 1763688340.1863
MEM 16.125000 1763688340.1875
MEM 16.546875 1763688340.1888
MEM 17.562500 1763688340.1901
MEM 17.953125 1763688340.1913
MEM 18.250000 1763688340.1926
MEM 18.250000 1763688340.1939
MEM 18.250000 1763688340.1951
