CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/55.py
MEM 0.203125 1763688227.4601
MEM 1.453125 1763688227.4614
MEM 0.250000 1763688227.4627
MEM 3.812500 1763688227.4639
MEM 5.843750 1763688227.4652
MEM 6.500000 1763688227.4665
MEM 7.156250 1763688227.4678
MEM 7.593750 1763688227.4690
MEM 8.265625 1763688227.4703
MEM 8.671875 1763688227.4716
MEM 9.031250 1763688227.4728
MEM 9.500000 1763688227.4741
MEM 10.234375 1763688227.4754
MEM 10.578125 1763688227.4766
MEM 10.953125 1763688227.4779
MEM 11.312500 1763688227.4792
MEM 12.000000 1763688227.4804
MEM 12.187500 1763688227.4817
MEM 12.796875 1763688227.4830
MEM 13.171875 1763688227.4842
MEM 13.593750 1763688227.4855
MEM 14.046875 1763688227.4868
MEM 14.468750 1763688227.4880
MEM 15.093750 1763688227.4893
MEM 15.421875 1763688227.4906
MEM 15.718750 1763688227.4918
MEM 16.140625 1763688227.4931
MEM 16.468750 1763688227.4942
MEM 17.593750 1763688227.4954
MEM 17.968750 1763688227.4967
MEM 18.187500 1763688227.4980
MEM 18.187500 1763688227.4993
MEM 18.187500 1763688227.5005
MEM 18.203125 1763688227.5018
