CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/29.py
MEM 0.156250 1763688225.0317
MEM 1.234375 1763688225.0330
MEM 0.250000 1763688225.0343
MEM 2.984375 1763688225.0356
MEM 5.734375 1763688225.0368
MEM 6.562500 1763688225.0381
MEM 7.234375 1763688225.0394
MEM 7.640625 1763688225.0408
MEM 8.234375 1763688225.0420
MEM 8.687500 1763688225.0433
MEM 9.093750 1763688225.0446
MEM 9.453125 1763688225.0458
MEM 10.046875 1763688225.0471
MEM 10.625000 1763688225.0484
MEM 11.015625 1763688225.0496
MEM 11.421875 1763688225.0509
MEM 11.703125 1763688225.0522
MEM 12.281250 1763688225.0534
MEM 12.609375 1763688225.0547
MEM 13.234375 1763688225.0560
MEM 13.625000 1763688225.0572
MEM 14.046875 1763688225.0585
MEM 14.500000 1763688225.0598
MEM 14.859375 1763688225.0610
MEM 15.468750 1763688225.0623
MEM 15.750000 1763688225.0636
MEM 16.109375 1763688225.0646
MEM 16.546875 1763688225.0659
MEM 17.000000 1763688225.0672
MEM 18.031250 1763688225.0684
MEM 18.390625 1763688225.0697
MEM 18.546875 1763688225.0710
MEM 18.546875 1763688225.0722
MEM 18.546875 1763688225.0735
