CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/62.py
MEM 0.156250 1763688227.9960
MEM 1.265625 1763688227.9973
MEM 0.250000 1763688227.9986
MEM 3.171875 1763688227.9999
MEM 5.703125 1763688228.0011
MEM 6.406250 1763688228.0024
MEM 7.109375 1763688228.0037
MEM 7.500000 1763688228.0050
MEM 8.140625 1763688228.0062
MEM 8.562500 1763688228.0075
MEM 8.953125 1763688228.0088
MEM 9.406250 1763688228.0100
MEM 9.890625 1763688228.0113
MEM 10.468750 1763688228.0126
MEM 10.921875 1763688228.0138
MEM 11.218750 1763688228.0151
MEM 11.671875 1763688228.0164
MEM 12.078125 1763688228.0176
MEM 12.671875 1763688228.0189
MEM 13.109375 1763688228.0201
MEM 13.468750 1763688228.0214
MEM 13.890625 1763688228.0227
MEM 14.390625 1763688228.0239
MEM 14.937500 1763688228.0252
MEM 15.328125 1763688228.0265
MEM 15.625000 1763688228.0277
MEM 16.062500 1763688228.0290
MEM 16.468750 1763688228.0303
MEM 17.500000 1763688228.0315
MEM 17.859375 1763688228.0328
MEM 18.031250 1763688228.0341
MEM 18.031250 1763688228.0353
MEM 18.031250 1763688228.0366
