CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/31.py
MEM 0.093750 1763688225.2950
MEM 0.484375 1763688225.2962
MEM 0.187500 1763688225.2975
MEM 2.234375 1763688225.2988
MEM 5.640625 1763688225.3001
MEM 6.390625 1763688225.3013
MEM 7.109375 1763688225.3026
MEM 7.484375 1763688225.3039
MEM 8.140625 1763688225.3051
MEM 8.515625 1763688225.3064
MEM 8.921875 1763688225.3077
MEM 9.328125 1763688225.3089
MEM 9.890625 1763688225.3102
MEM 10.453125 1763688225.3115
MEM 10.953125 1763688225.3127
MEM 11.234375 1763688225.3140
MEM 11.640625 1763688225.3153
MEM 12.078125 1763688225.3165
MEM 12.671875 1763688225.3178
MEM 13.109375 1763688225.3191
MEM 13.468750 1763688225.3203
MEM 13.921875 1763688225.3216
MEM 14.359375 1763688225.3229
MEM 14.953125 1763688225.3241
MEM 15.296875 1763688225.3254
MEM 15.593750 1763688225.3267
MEM 16.046875 1763688225.3279
MEM 16.453125 1763688225.3292
MEM 17.468750 1763688225.3305
MEM 17.906250 1763688225.3317
MEM 18.140625 1763688225.3330
MEM 18.140625 1763688225.3343
MEM 18.140625 1763688225.3356
