CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/44.py
MEM 0.156250 1763688226.2986
MEM 1.171875 1763688226.2999
MEM 0.250000 1763688226.3012
MEM 2.828125 1763688226.3025
MEM 5.703125 1763688226.3037
MEM 6.406250 1763688226.3050
MEM 7.109375 1763688226.3063
MEM 7.500000 1763688226.3075
MEM 8.140625 1763688226.3088
MEM 8.562500 1763688226.3101
MEM 8.953125 1763688226.3114
MEM 9.406250 1763688226.3126
MEM 9.890625 1763688226.3139
MEM 10.453125 1763688226.3152
MEM 10.921875 1763688226.3164
MEM 11.203125 1763688226.3177
MEM 11.671875 1763688226.3189
MEM 12.078125 1763688226.3202
MEM 12.671875 1763688226.3215
MEM 13.109375 1763688226.3227
MEM 13.468750 1763688226.3240
MEM 13.890625 1763688226.3253
MEM 14.390625 1763688226.3265
MEM 14.953125 1763688226.3278
MEM 15.328125 1763688226.3291
MEM 15.625000 1763688226.3304
MEM 16.015625 1763688226.3316
MEM 16.421875 1763688226.3329
MEM 17.500000 1763688226.3342
MEM 17.859375 1763688226.3355
MEM 18.078125 1763688226.3367
MEM 18.078125 1763688226.3380
MEM 18.078125 1763688226.3393
