CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/49.py
MEM 0.156250 1763688226.7891
MEM 1.125000 1763688226.7904
MEM 0.250000 1763688226.7916
MEM 2.828125 1763688226.7929
MEM 5.687500 1763688226.7942
MEM 6.421875 1763688226.7955
MEM 7.109375 1763688226.7967
MEM 7.500000 1763688226.7980
MEM 8.140625 1763688226.7993
MEM 8.515625 1763688226.8005
MEM 8.953125 1763688226.8018
MEM 9.328125 1763688226.8031
MEM 9.890625 1763688226.8043
MEM 10.468750 1763688226.8056
MEM 10.953125 1763688226.8069
MEM 11.234375 1763688226.8081
MEM 11.640625 1763688226.8094
MEM 12.078125 1763688226.8107
MEM 12.671875 1763688226.8119
MEM 13.109375 1763688226.8132
MEM 13.468750 1763688226.8145
MEM 13.875000 1763688226.8157
MEM 14.359375 1763688226.8170
MEM 14.906250 1763688226.8183
MEM 15.281250 1763688226.8195
MEM 15.593750 1763688226.8208
MEM 15.984375 1763688226.8221
MEM 16.375000 1763688226.8233
MEM 17.390625 1763688226.8246
MEM 17.781250 1763688226.8259
MEM 18.078125 1763688226.8271
MEM 18.078125 1763688226.8284
MEM 18.093750 1763688226.8297
MEM 18.093750 1763688226.8310
MEM 18.093750 1763688226.8323
MEM 18.093750 1763688226.8335
