CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/51.py
MEM 0.156250 1763688227.0146
MEM 1.265625 1763688227.0159
MEM 0.250000 1763688227.0172
MEM 2.875000 1763688227.0184
MEM 5.687500 1763688227.0197
MEM 6.390625 1763688227.0210
MEM 7.093750 1763688227.0222
MEM 7.468750 1763688227.0235
MEM 8.109375 1763688227.0248
MEM 8.546875 1763688227.0260
MEM 8.937500 1763688227.0273
MEM 9.343750 1763688227.0286
MEM 9.890625 1763688227.0298
MEM 10.437500 1763688227.0311
MEM 10.921875 1763688227.0324
MEM 11.187500 1763688227.0336
MEM 11.656250 1763688227.0349
MEM 12.046875 1763688227.0362
MEM 12.656250 1763688227.0375
MEM 13.109375 1763688227.0387
MEM 13.437500 1763688227.0400
MEM 13.890625 1763688227.0413
MEM 14.328125 1763688227.0425
MEM 14.921875 1763688227.0438
MEM 15.265625 1763688227.0451
MEM 15.562500 1763688227.0463
MEM 16.015625 1763688227.0476
MEM 16.421875 1763688227.0489
MEM 17.453125 1763688227.0501
MEM 17.843750 1763688227.0514
MEM 18.109375 1763688227.0526
MEM 18.109375 1763688227.0539
MEM 18.109375 1763688227.0552
MEM 18.125000 1763688227.0564
