CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/26.py
MEM 0.156250 1763688224.5354
MEM 1.281250 1763688224.5367
MEM 0.250000 1763688224.5379
MEM 3.421875 1763688224.5392
MEM 5.796875 1763688224.5405
MEM 6.562500 1763688224.5418
MEM 7.250000 1763688224.5430
MEM 7.687500 1763688224.5443
MEM 8.437500 1763688224.5456
MEM 8.859375 1763688224.5469
MEM 9.281250 1763688224.5481
MEM 9.703125 1763688224.5494
MEM 10.156250 1763688224.5507
MEM 10.781250 1763688224.5519
MEM 11.203125 1763688224.5532
MEM 11.515625 1763688224.5545
MEM 12.156250 1763688224.5557
MEM 12.421875 1763688224.5570
MEM 13.000000 1763688224.5583
MEM 13.421875 1763688224.5595
MEM 13.796875 1763688224.5608
MEM 14.218750 1763688224.5621
MEM 14.703125 1763688224.5633
MEM 15.265625 1763688224.5646
MEM 15.562500 1763688224.5659
MEM 15.562500 1763688224.5672
MEM 15.734375 1763688224.5685
MEM 16.156250 1763688224.5698
MEM 16.609375 1763688224.5710
MEM 17.562500 1763688224.5723
MEM 18.000000 1763688224.5736
MEM 18.328125 1763688224.5748
MEM 18.328125 1763688224.5761
MEM 18.328125 1763688224.5774
MEM 18.343750 1763688224.5786
