CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/3.py
MEM 0.156250 1763688339.4063
MEM 1.578125 1763688339.4077
MEM 0.187500 1763688339.4090
MEM 1.953125 1763688339.4103
MEM 4.109375 1763688339.4115
MEM 5.906250 1763688339.4128
MEM 6.546875 1763688339.4141
MEM 7.203125 1763688339.4154
MEM 7.609375 1763688339.4166
MEM 7.812500 1763688339.4179
MEM 8.515625 1763688339.4192
MEM 8.921875 1763688339.4204
MEM 9.296875 1763688339.4217
MEM 9.640625 1763688339.4230
MEM 10.218750 1763688339.4242
MEM 10.890625 1763688339.4255
MEM 11.406250 1763688339.4268
MEM 11.703125 1763688339.4280
MEM 12.125000 1763688339.4293
MEM 12.531250 1763688339.4306
MEM 13.140625 1763688339.4319
MEM 13.609375 1763688339.4331
MEM 13.984375 1763688339.4344
MEM 14.390625 1763688339.4357
MEM 14.875000 1763688339.4369
MEM 15.406250 1763688339.4382
MEM 15.765625 1763688339.4395
MEM 16.093750 1763688339.4407
MEM 16.531250 1763688339.4420
MEM 16.953125 1763688339.4433
MEM 18.000000 1763688339.4445
MEM 18.359375 1763688339.4458
MEM 18.625000 1763688339.4471
MEM 18.625000 1763688339.4483
MEM 18.625000 1763688339.4496
