CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/4.py
MEM 0.156250 1763688339.6714
MEM 1.796875 1763688339.6727
MEM 0.250000 1763688339.6740
MEM 3.937500 1763688339.6752
MEM 5.906250 1763688339.6765
MEM 6.656250 1763688339.6778
MEM 7.390625 1763688339.6790
MEM 7.859375 1763688339.6803
MEM 8.359375 1763688339.6816
MEM 8.796875 1763688339.6828
MEM 9.187500 1763688339.6841
MEM 9.734375 1763688339.6854
MEM 10.328125 1763688339.6866
MEM 10.734375 1763688339.6879
MEM 11.109375 1763688339.6892
MEM 11.406250 1763688339.6904
MEM 11.984375 1763688339.6917
MEM 12.296875 1763688339.6930
MEM 12.953125 1763688339.6942
MEM 13.328125 1763688339.6955
MEM 13.750000 1763688339.6968
MEM 14.203125 1763688339.6980
MEM 14.578125 1763688339.6993
MEM 15.187500 1763688339.7005
MEM 15.468750 1763688339.7018
MEM 15.890625 1763688339.7031
MEM 16.328125 1763688339.7043
MEM 17.312500 1763688339.7056
MEM 17.796875 1763688339.7069
MEM 18.093750 1763688339.7081
MEM 18.093750 1763688339.7094
MEM 18.093750 1763688339.7107
