CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/35.py
MEM 0.156250 1763688225.8123
MEM 1.296875 1763688225.8135
MEM 0.250000 1763688225.8148
MEM 2.375000 1763688225.8161
MEM 5.671875 1763688225.8174
MEM 6.421875 1763688225.8186
MEM 7.125000 1763688225.8199
MEM 7.500000 1763688225.8212
MEM 8.156250 1763688225.8224
MEM 8.578125 1763688225.8237
MEM 8.984375 1763688225.8250
MEM 9.468750 1763688225.8262
MEM 9.906250 1763688225.8275
MEM 10.500000 1763688225.8288
MEM 10.937500 1763688225.8300
MEM 11.234375 1763688225.8313
MEM 11.843750 1763688225.8326
MEM 12.140625 1763688225.8338
MEM 12.718750 1763688225.8351
MEM 13.140625 1763688225.8364
MEM 13.515625 1763688225.8376
MEM 13.937500 1763688225.8389
MEM 14.421875 1763688225.8402
MEM 15.015625 1763688225.8414
MEM 15.343750 1763688225.8427
MEM 15.671875 1763688225.8440
MEM 16.109375 1763688225.8452
MEM 16.515625 1763688225.8465
MEM 17.578125 1763688225.8478
MEM 17.906250 1763688225.8491
MEM 18.125000 1763688225.8503
MEM 18.125000 1763688225.8516
MEM 18.125000 1763688225.8529
