CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/10.py
MEM 0.156250 1763688339.9250
MEM 1.796875 1763688339.9263
MEM 0.250000 1763688339.9276
MEM 4.171875 1763688339.9289
MEM 5.953125 1763688339.9301
MEM 6.687500 1763688339.9314
MEM 7.406250 1763688339.9327
MEM 7.890625 1763688339.9339
MEM 8.390625 1763688339.9352
MEM 8.796875 1763688339.9365
MEM 9.187500 1763688339.9377
MEM 9.781250 1763688339.9390
MEM 10.328125 1763688339.9403
MEM 10.734375 1763688339.9415
MEM 11.125000 1763688339.9428
MEM 11.406250 1763688339.9441
MEM 11.984375 1763688339.9453
MEM 12.296875 1763688339.9466
MEM 12.953125 1763688339.9479
MEM 13.328125 1763688339.9491
MEM 13.750000 1763688339.9504
MEM 14.234375 1763688339.9517
MEM 14.625000 1763688339.9529
MEM 15.187500 1763688339.9542
MEM 15.531250 1763688339.9555
MEM 15.921875 1763688339.9567
MEM 16.328125 1763688339.9580
MEM 17.250000 1763688339.9593
MEM 17.562500 1763688339.9605
MEM 17.875000 1763688339.9618
MEM 18.093750 1763688339.9631
MEM 18.093750 1763688339.9644
MEM 18.093750 1763688339.9657
MEM 18.093750 1763688339.9669
