CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/32.py
MEM 0.156250 1763688225.5534
MEM 1.062500 1763688225.5547
MEM 0.250000 1763688225.5560
MEM 3.750000 1763688225.5572
MEM 5.843750 1763688225.5585
MEM 6.515625 1763688225.5598
MEM 7.156250 1763688225.5610
MEM 7.593750 1763688225.5623
MEM 8.265625 1763688225.5636
MEM 8.671875 1763688225.5648
MEM 9.031250 1763688225.5661
MEM 9.531250 1763688225.5674
MEM 10.234375 1763688225.5686
MEM 10.578125 1763688225.5699
MEM 10.953125 1763688225.5712
MEM 11.343750 1763688225.5724
MEM 12.000000 1763688225.5737
MEM 12.250000 1763688225.5750
MEM 12.828125 1763688225.5762
MEM 13.171875 1763688225.5775
MEM 13.656250 1763688225.5787
MEM 14.062500 1763688225.5800
MEM 14.484375 1763688225.5813
MEM 15.156250 1763688225.5826
MEM 15.406250 1763688225.5838
MEM 15.765625 1763688225.5851
MEM 16.156250 1763688225.5863
MEM 16.578125 1763688225.5876
MEM 17.609375 1763688225.5889
MEM 17.906250 1763688225.5901
MEM 18.062500 1763688225.5914
MEM 18.062500 1763688225.5927
MEM 18.062500 1763688225.5939
