CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/52.py
MEM 0.156250 1763688227.2391
MEM 1.218750 1763688227.2404
MEM 0.250000 1763688227.2417
MEM 3.171875 1763688227.2430
MEM 5.718750 1763688227.2443
MEM 6.406250 1763688227.2455
MEM 7.109375 1763688227.2468
MEM 7.500000 1763688227.2481
MEM 8.140625 1763688227.2493
MEM 8.562500 1763688227.2506
MEM 8.968750 1763688227.2519
MEM 9.390625 1763688227.2531
MEM 9.890625 1763688227.2544
MEM 10.437500 1763688227.2557
MEM 10.921875 1763688227.2569
MEM 11.218750 1763688227.2582
MEM 11.718750 1763688227.2595
MEM 12.078125 1763688227.2607
MEM 12.671875 1763688227.2620
MEM 13.125000 1763688227.2633
MEM 13.468750 1763688227.2645
MEM 13.906250 1763688227.2658
MEM 14.390625 1763688227.2671
MEM 14.953125 1763688227.2684
MEM 15.328125 1763688227.2696
MEM 15.640625 1763688227.2709
MEM 16.078125 1763688227.2722
MEM 16.468750 1763688227.2734
MEM 17.468750 1763688227.2747
MEM 17.843750 1763688227.2760
MEM 18.046875 1763688227.2773
MEM 18.109375 1763688227.2785
MEM 18.109375 1763688227.2798
